nombre;frecuencia
JESUS MARIA;25114 
ABEL;25114 
ASCENSION;24789 
CARMEN MARIA;24739 
OMAR;24723 
JONATHAN;24659 
JIMENA;24566 
JAUME;24457 
MIKEL;24268 
GERMAN;24193 
JUANA MARIA;24083 
EUGENIO;24024 
OLIVIA;23849 
PEDRO JOSE;23803 
RAFAELA;23742 
ADELA;23611 
NIEVES;23534 
ADAM;23519 
GABRIELA;23449 
POL;23323 
SERGI;23253 
CHRISTIAN;23209 
AMELIA;23116 
JOSE VICENTE;23025 
OLIVER;22937 
MARIANA;22882 
MOISES;22778 
AMALIA;22512 
JON;22418 
ELISABET;22404 
AROA;22279 
NORA;22192 
LETICIA;22041 
VALENTIN;22035 
IÑIGO;21950 
GERARD;21932 
ENZO;21512 
JUAN RAMON;21502 
ARNAU;21464 
FELISA;21396 
BARBARA;21250 
MANUEL JESUS;21147 
JUDITH;21073 
ESTER;21010 
YOUSSEF;20869 
JUAN PEDRO;20689 
ALEXANDRA;20510 
BERTA;20480 
LEONOR;20370 
ALMA;20268 
HELENA;20262 
JENNIFER;20190 
ISRAEL;20079 
SHEILA;20065 
ORIOL;19837 
GUADALUPE;19684 
JUDIT;19681 
ADOLFO;19677 
MARIA MAGDALENA;19607 
CECILIA;19562 
VEGA;19549 
NADIA;19516 
JONATAN;19278 
MIQUEL;19177 
ELSA;19109 
ERNESTO;19000 
ANTONIO MANUEL;18963 
ELOY;18704 
RAMONA;18645 
MARIA ENCARNACION;18398 
LUIS ALBERTO;18389 
SAUL;18305 
ESTRELLA;18233 
RUTH;18120 
SORAYA;18119 
JUAN PABLO;18052 
JOAQUINA;18022 
MATIAS;17888 
GERARDO;17751 
JOSE ALBERTO;17745 
ISIDRO;17711 
ERIK;17693 
ALONSO;17681 
JULIANA;17673 
VERA;17621 
BERNARDO;17571 
MARIA MONTSERRAT;17569 
MARIA YOLANDA;17502 
ERIKA;17457 
MARIA FRANCISCA;17443 
FEDERICO;17423 
JESUS MANUEL;17406 
MAR;17390 
AINA;17302 
ALEXANDER;17266 
MARTI;17257 
PAOLA;17239 
ADRIA;17234 
ROSALIA;17229 
NAIARA;17227 
ABRIL;17151 
BENITO;16983 
LEYRE;16950 
KEVIN;16929 
FRANCESC;16790 
ROGER;16787 
CARMELO;16770 
AGUSTINA;16767 
CARLOS ALBERTO;16735 
ANDER;16603 
JUAN JESUS;16498 
ELIAS;16491 
MARIA GLORIA;16239 
AFRICA;16099 
MACARENA;15993 
MARIA MILAGROS;15962 
JULEN;15931 
PETRA;15927 
MARIA CONSUELO;15925 
