division;anio;salario;resto_costes
20;2016;34801.70;147.59
20;2015;35215.84;223.90
20;2014;34969.38;232.46
20;2013;33949.82;267.75
20;2012;33371.90;225.63
20;2011;34098.27;87.03
20;2010;32813.44;177.56
20;2009;32494.65;326.66
20;2008;31710.09;369.28
21;2023;45719.64;249.48
21;2022;43468.52;290.93
21;2021;43228.38;284.08
21;2020;43338.01;264.91
21;2019;43181.81;346.75
21;2018;41341.10;278.31
21;2017;42048.33;430.94
21;2016;42135.70;293.26
21;2015;41763.39;235.25
21;2014;41806.69;175.39
21;2013;42612.50;290.35
21;2012;40870.22;183.54
21;2011;40814.65;322.98
21;2010;40469.99;364.76
21;2009;40403.11;227.24
21;2008;41076.58;317.77
22;2023;29560.65;133.60
22;2022;28168.21;87.58
22;2021;27347.85;124.40
22;2020;26353.80;108.45
22;2019;27738.60;84.10
22;2018;26916.70;82.74
22;2017;27359.70;200.67
22;2016;27532.43;139.37
22;2015;27287.75;111.36
22;2014;26090.67;140.40
22;2013;25497.08;208.16
22;2012;26138.34;116.85
22;2011;25721.08;155.33
22;2010;24346.26;157.81
22;2009;23296.30;143.77
22;2008;24026.17;178.97
23;2023;28271.77;390.64
23;2022;26708.01;293.00
23;2021;25736.65;387.65
23;2020;24626.05;415.58
23;2019;24979.12;388.10
23;2018;25095.53;320.17
23;2017;25781.74;288.89
23;2016;26349.35;265.39
23;2015;26254.80;373.83
23;2014;27104.17;428.74
23;2013;26516.91;606.65
23;2012;24879.00;689.73
23;2011;24388.70;621.74
23;2010;24756.33;545.34
23;2009;23071.51;610.45
23;2008;23698.31;619.09
24;2023;34876.02;119.87
24;2022;32681.95;180.90
24;2021;30869.63;109.85
24;2020;29732.96;103.54
24;2019;32254.32;85.87
24;2018;32293.33;152.27
24;2017;31579.12;159.50
24;2016;31498.65;117.56
24;2015;29611.95;148.12
24;2014;29163.93;64.28
24;2013;28571.35;159.15
24;2012;28461.12;152.15
24;2011;28081.63;164.10
24;2010;26492.32;122.39
24;2009;25047.59;212.94
24;2008;28335.30;95.66
25;2023;27732.35;152.04
25;2022;25865.46;233.09
25;2021;25644.51;89.62
25;2020;24101.74;265.57
25;2019;25717.36;189.02
25;2018;25726.50;83.53
25;2017;25777.66;159.29
25;2016;24865.81;212.92
25;2015;24930.83;64.62
25;2014;24666.05;239.12
25;2013;23594.10;255.78
25;2012;22986.06;241.86
25;2011;23394.74;335.20
25;2010;22947.19;324.53
25;2009;22532.40;275.27
25;2008;21902.30;206.73
26;2023;33826.93;165.66
26;2022;32521.77;190.64
26;2021;31403.34;204.16
26;2020;30348.53;270.03
26;2019;31850.42;262.79
26;2018;31218.30;256.87
26;2017;30953.71;122.67
26;2016;30709.83;148.50
26;2015;30847.46;130.83
26;2014;31540.66;226.55
26;2013;30010.35;294.90
26;2012;31127.81;140.56
26;2011;30341.68;233.10
26;2010;29996.55;385.81
26;2009;30653.85;442.95
26;2008;27628.68;325.97
27;2023;37132.72;378.53
27;2022;34474.52;177.98
27;2021;34123.35;237.39
27;2020;30904.52;260.57
27;2019;32214.58;206.24
27;2018;30842.69;68.94
27;2017;31616.97;45.29
27;2016;31207.50;44.39
27;2015;31045.91;216.12
27;2014;30870.92;40.18
27;2013;29637.97;35.62
27;2012;28334.43;37.19
27;2011;27633.79;372.21
27;2010;26193.11;253.52
27;2009;26286.83;270.19
27;2008;26105.97;354.27
28;2023;32289.98;155.85
28;2022;29949.01;39.47
28;2021;28608.99;308.84
28;2020;28141.88;275.70
28;2019;28755.44;127.52
28;2018;29482.11;245.34
28;2017;28865.76;206.53
28;2016;29052.25;244.38
28;2015;28622.66;153.81
28;2014;28036.35;387.36
28;2013;27724.74;402.68
28;2012;27725.59;204.13
28;2011;26899.39;138.78
28;2010;26395.95;257.77
28;2009;25473.60;278.48
28;2008;26129.98;273.02
29;2023;33236.67;194.97
29;2022;32201.59;157.18
29;2021;30029.53;130.90
29;2020;27884.67;219.92
29;2019;31566.06;190.31
29;2018;31363.15;137.03
29;2017;31230.37;157.08
29;2016;30280.43;129.54
29;2015;30653.18;29.08
29;2014;30750.78;98.60
29;2013;29595.30;108.92
29;2012;28595.90;122.54
29;2011;28842.08;151.76
29;2010;27510.30;115.25
29;2009;25621.74;110.58
29;2008;26562.76;201.44
30;2023;45310.81;123.65
30;2022;44561.08;173.93
30;2021;42174.88;321.39
30;2020;41492.51;312.69
30;2019;42853.96;213.75
30;2018;41111.81;147.19
30;2017;39814.52;178.95
30;2016;39743.67;72.89
30;2015;37766.21;50.78
30;2014;37492.58;3.96
30;2013;37403.83;48.17
30;2012;36850.88;63.07
30;2011;34818.98;139.18
30;2010;33660.29;81.52
30;2009;32376.79;57.09
30;2008;32605.62;38.41
31;2023;22785.34;169.91
31;2022;22218.58;172.56
31;2021;21658.13;187.79
31;2020;19392.05;165.50
31;2019;20935.99;194.12
31;2018;21310.89;149.15
31;2017;19858.03;183.98
31;2016;19453.86;173.64
31;2015;19193.20;180.86
31;2014;18963.21;185.03
31;2013;18453.36;157.83
31;2012;18361.53;238.42
31;2011;18713.09;251.59
31;2010;18079.99;257.80
31;2009;17930.37;331.28
31;2008;17126.86;271.65
32;2023;25305.36;71.21
32;2022;24475.07;117.75
32;2021;22305.24;146.06
32;2020;19803.63;174.30
32;2019;22231.76;164.60
32;2018;22754.09;53.18
32;2017;22486.23;184.17
32;2016;23431.70;182.90
32;2015;22468.83;203.34
32;2014;22077.18;179.34
32;2013;22318.56;219.82
32;2012;22870.64;268.27
32;2011;22080.98;258.80
32;2010;21719.34;267.81
32;2009;22411.14;240.38
32;2008;19420.76;290.96
33;2023;28462.91;344.52
33;2022;27565.01;319.21
33;2021;26323.75;243.86
33;2020;25127.08;207.08
33;2019;25863.20;118.39
33;2018;25689.25;266.02
33;2017;24889.15;341.87
33;2016;25282.28;377.06
33;2015;25457.06;446.53
33;2014;25704.80;511.23
33;2013;25181.54;537.04
33;2012;24196.09;521.32
